"attributes","Id","MetadataComponentId","MetadataComponentName","MetadataComponentNamespace","RefMetadataComponentId","RefMetadataComponentName","RefMetadataComponentNamespace","RefMetadataComponentType"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e52AAA","Opportunity Layout",,"00b4x000002BmblAAC","Delivery Status",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e53AAA","Contact (Marketing) Layout",,"00N4x00000TeON7EAN","Languages",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e53AAA","Contact (Marketing) Layout",,"00N4x00000TeON8EAN","Level",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e54AAA","Contact (Sales) Layout",,"00N4x00000TeON7EAN","Languages",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e54AAA","Contact (Sales) Layout",,"00N4x00000TeON8EAN","Level",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e55AAA","Contact (Support) Layout",,"00N4x00000TeON7EAN","Languages",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e55AAA","Contact (Support) Layout",,"00N4x00000TeON8EAN","Level",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e56AAA","Contact Layout",,"00N4x00000TeON7EAN","Languages",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e56AAA","Contact Layout",,"00N4x00000TeON8EAN","Level",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeOMwEAN","Active",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeOMxEAN","CustomerPriority",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeOMyEAN","NumberofLocations",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeOMzEAN","SLA",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeON0EAN","SLAExpirationDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeON1EAN","SLASerialNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000TeON2EAN","UpsellOpportunity",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000WmNdoEAF","Status_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000WmNpLEAV","Temp1_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000WmNpQEAV","Temp2_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000bSGEYEA4","GreenStatus_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000bSKanEAG","Comments",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00N4x00000bSkDuEAK","StartDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e57AAA","Account (Marketing) Layout",,"00b4x000002BmbmAAC","Billing",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeOMwEAN","Active",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeOMxEAN","CustomerPriority",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeOMyEAN","NumberofLocations",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeOMzEAN","SLA",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeON0EAN","SLAExpirationDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeON1EAN","SLASerialNumber",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000TeON2EAN","UpsellOpportunity",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000WmNdoEAF","Status_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000WmNpLEAV","Temp1_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000WmNpQEAV","Temp2_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000bSGEYEA4","GreenStatus_del",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000bSKanEAG","Comments",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00N4x00000bSkDuEAK","StartDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e58AAA","Account (Sales) Layout",,"00b4x000002BmbmAAC","Billing",,"WebLink"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeOMwEAN","Active",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeOMxEAN","CustomerPriority",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeOMyEAN","NumberofLocations",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeOMzEAN","SLA",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeON0EAN","SLAExpirationDate",,"CustomField"
"{""type"":""MetadataComponentDependency"",""url"":""/services/data/v56.0/tooling/sobjects/MetadataComponentDependency/000000000000000AAA""}","000000000000000AAA","00h4x0000092e59AAA","Account (Support) Layout",,"00N4x00000TeON1EAN","SLASerialNumber",,"CustomField"
